feature,mean_abs_shap
acquisition_channel,0.20268
payment_consistency,0.16375
annual_premium,0.08644
policy_type,0.06558
total_claim_amount,0.05299
years_with_carrier,0.04832
multi_product_flag,0.03531
aqx_assisted_flag,0.031
tenure_months,0.03098
prior_insurance_flag,0.03016
metro_area,0.02903
state,0.02307
days_since_last_claim,0.02103
coverage_tier,0.0192
cohort_quarter,0.01915
homeowner_flag,0.01896
agency_type,0.01765
age_band,0.01535
billing_frequency,0.01533
payment_method,0.0153
nsf_flag,0.01356
missed_payment_count,0.01222
renters_quoted_flag,0.01137
late_pay_flag_3mo,0.0113
claim_severity_band,0.0092
days_past_due_max,0.00918
has_claim_12mo,0.00461
renters_attached_flag,0.00291
claim_count_12mo,0.0008
